sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 19:01:42.595000000,temperature,14.10000038
senor_1,2024-03-29 19:01:42.595000000,humidity,90.0
senor_1,2024-03-29 19:01:41.603000000,temperature,14.10000038
senor_1,2024-03-29 19:01:41.603000000,humidity,90.0
senor_1,2024-03-29 19:01:40.604000000,temperature,14.10000038
senor_1,2024-03-29 19:01:40.604000000,humidity,90.0
senor_1,2024-03-29 19:01:39.628000000,humidity,90.0
senor_1,2024-03-29 19:01:38.539000000,humidity,90.0
senor_1,2024-03-29 19:01:37.522000000,temperature,13.89999962
senor_1,2024-03-29 19:01:37.522000000,humidity,90.0
senor_1,2024-03-29 19:01:36.533000000,temperature,13.89999962
senor_1,2024-03-29 19:01:36.533000000,humidity,90.0
senor_1,2024-03-29 19:01:35.531000000,temperature,13.80000019
senor_1,2024-03-29 19:01:35.531000000,humidity,90.0
senor_1,2024-03-29 19:01:34.476000000,temperature,13.80000019
senor_1,2024-03-29 19:01:34.476000000,humidity,90.0
senor_1,2024-03-29 19:01:33.517000000,temperature,13.69999981
senor_1,2024-03-29 19:01:33.517000000,humidity,90.0
senor_1,2024-03-29 19:01:32.438000000,temperature,13.69999981
senor_1,2024-03-29 19:01:32.438000000,humidity,90.0
senor_1,2024-03-29 19:01:31.445000000,temperature,13.60000038
senor_1,2024-03-29 19:01:31.445000000,humidity,89.0
senor_1,2024-03-29 19:01:30.414000000,temperature,13.60000038
senor_1,2024-03-29 19:01:30.414000000,humidity,89.0
senor_1,2024-03-29 19:01:29.463000000,temperature,13.5
senor_1,2024-03-29 19:01:29.463000000,humidity,89.0
senor_1,2024-03-29 19:01:28.395000000,temperature,13.5
senor_1,2024-03-29 19:01:28.395000000,humidity,89.0
senor_1,2024-03-29 19:01:27.365000000,temperature,13.39999962
senor_1,2024-03-29 19:01:27.365000000,humidity,89.0
senor_1,2024-03-29 19:01:26.423000000,temperature,13.39999962
senor_1,2024-03-29 19:01:26.423000000,humidity,89.0
senor_1,2024-03-29 19:01:25.337000000,temperature,13.39999962
senor_1,2024-03-29 19:01:25.337000000,humidity,89.0
senor_1,2024-03-29 19:01:24.328000000,temperature,13.39999962
senor_1,2024-03-29 19:01:24.328000000,humidity,89.0
senor_1,2024-03-29 19:01:23.305000000,temperature,13.30000019
senor_1,2024-03-29 19:01:23.305000000,humidity,89.0
senor_1,2024-03-29 19:01:22.326000000,temperature,13.30000019
senor_1,2024-03-29 19:01:22.326000000,humidity,89.0
senor_1,2024-03-29 19:01:21.279000000,temperature,13.19999981
senor_1,2024-03-29 19:01:21.279000000,humidity,89.0
senor_1,2024-03-29 19:01:20.330000000,temperature,13.19999981
senor_1,2024-03-29 19:01:20.330000000,humidity,89.0
senor_1,2024-03-29 19:01:19.254000000,temperature,13.10000038
senor_1,2024-03-29 19:01:19.254000000,humidity,89.0
senor_1,2024-03-29 19:01:18.256000000,temperature,13.10000038
senor_1,2024-03-29 19:01:18.256000000,humidity,89.0
senor_1,2024-03-29 19:01:17.215000000,temperature,13.10000038
senor_1,2024-03-29 19:01:17.215000000,humidity,88.0
senor_1,2024-03-29 19:01:16.253000000,temperature,13.10000038
senor_1,2024-03-29 19:01:16.253000000,humidity,88.0
senor_1,2024-03-29 19:01:15.190000000,humidity,88.0
senor_1,2024-03-29 19:01:14.185000000,humidity,88.0
senor_1,2024-03-29 19:01:13.190000000,temperature,12.89999962
senor_1,2024-03-29 19:01:13.190000000,humidity,88.0
senor_1,2024-03-29 19:01:12.164000000,temperature,12.89999962
senor_1,2024-03-29 19:01:12.164000000,humidity,88.0
senor_1,2024-03-29 19:01:11.148000000,temperature,12.80000019
senor_1,2024-03-29 19:01:11.148000000,humidity,88.0
senor_1,2024-03-29 19:01:10.139000000,temperature,12.80000019
senor_1,2024-03-29 19:01:10.139000000,humidity,88.0
senor_1,2024-03-29 19:01:09.145000000,temperature,12.69999981
senor_1,2024-03-29 19:01:09.145000000,humidity,88.0
senor_1,2024-03-29 19:01:08.099000000,temperature,12.69999981
senor_1,2024-03-29 19:01:08.099000000,humidity,88.0
senor_1,2024-03-29 19:01:07.068000000,temperature,12.60000038
senor_1,2024-03-29 19:01:07.068000000,humidity,88.0
senor_1,2024-03-29 19:01:06.089000000,temperature,12.60000038
senor_1,2024-03-29 19:01:06.089000000,humidity,88.0
senor_1,2024-03-29 19:01:05.047000000,temperature,12.39999962
senor_1,2024-03-29 19:01:05.047000000,humidity,87.0
senor_1,2024-03-29 19:01:04.041000000,temperature,12.39999962
senor_1,2024-03-29 19:01:04.041000000,humidity,87.0
senor_1,2024-03-29 19:01:03.031000000,temperature,12.30000019
senor_1,2024-03-29 19:01:03.031000000,humidity,87.0
senor_1,2024-03-29 19:01:02.030000000,temperature,12.30000019
senor_1,2024-03-29 19:01:02.030000000,humidity,87.0
senor_1,2024-03-29 19:01:01.003000000,temperature,12.19999981
senor_1,2024-03-29 19:01:01.003000000,humidity,87.0
senor_1,2024-03-29 19:01:00.033000000,temperature,12.19999981
senor_1,2024-03-29 19:01:00.033000000,humidity,87.0
senor_1,2024-03-29 19:00:58.974000000,humidity,87.0
senor_1,2024-03-29 19:00:57.966000000,humidity,87.0
senor_1,2024-03-29 19:00:56.957000000,temperature,11.80000019
senor_1,2024-03-29 19:00:56.957000000,humidity,86.0
senor_1,2024-03-29 19:00:55.910000000,temperature,11.80000019
senor_1,2024-03-29 19:00:55.910000000,humidity,86.0
senor_1,2024-03-29 19:00:54.924000000,temperature,11.60000038
senor_1,2024-03-29 19:00:54.924000000,humidity,86.0
senor_1,2024-03-29 19:00:53.963000000,temperature,11.60000038
senor_1,2024-03-29 19:00:53.963000000,humidity,86.0
senor_1,2024-03-29 19:00:52.867000000,temperature,11.39999962
senor_1,2024-03-29 19:00:52.867000000,humidity,86.0
senor_1,2024-03-29 19:00:51.886000000,temperature,11.39999962
senor_1,2024-03-29 19:00:51.886000000,humidity,86.0
senor_1,2024-03-29 19:00:50.870000000,temperature,11.30000019
senor_1,2024-03-29 19:00:50.870000000,humidity,85.0
senor_1,2024-03-29 19:00:49.837000000,temperature,11.30000019
senor_1,2024-03-29 19:00:49.837000000,humidity,85.0
senor_1,2024-03-29 19:00:48.803000000,temperature,11.10000038
senor_1,2024-03-29 19:00:48.803000000,humidity,84.0
senor_1,2024-03-29 19:00:47.804000000,temperature,11.10000038
senor_1,2024-03-29 19:00:47.804000000,humidity,84.0
senor_1,2024-03-29 19:00:46.861000000,temperature,10.89999962
senor_1,2024-03-29 19:00:46.861000000,humidity,84.0
senor_1,2024-03-29 19:00:45.787000000,temperature,10.89999962
senor_1,2024-03-29 19:00:45.787000000,humidity,84.0
senor_1,2024-03-29 19:00:44.808000000,temperature,10.69999981
senor_1,2024-03-29 19:00:44.808000000,humidity,84.0
senor_1,2024-03-29 19:00:43.742000000,temperature,10.69999981
senor_1,2024-03-29 19:00:43.742000000,humidity,84.0
senor_1,2024-03-29 19:00:42.780000000,temperature,10.60000038
senor_1,2024-03-29 19:00:42.780000000,humidity,83.0
senor_1,2024-03-29 19:00:41.751000000,temperature,10.60000038
senor_1,2024-03-29 19:00:41.751000000,humidity,83.0
senor_1,2024-03-29 19:00:40.716000000,temperature,10.39999962
senor_1,2024-03-29 19:00:40.716000000,humidity,83.0
senor_1,2024-03-29 19:00:39.691000000,temperature,10.39999962
senor_1,2024-03-29 19:00:39.691000000,humidity,83.0
senor_1,2024-03-29 19:00:38.668000000,temperature,10.19999981
senor_1,2024-03-29 19:00:38.668000000,humidity,82.0
senor_1,2024-03-29 19:00:37.666000000,temperature,10.19999981
senor_1,2024-03-29 19:00:37.666000000,humidity,82.0
senor_1,2024-03-29 19:00:36.645000000,humidity,82.0
